date;numero_commande;client_email;code_postal;ville;produit;quantite;montant_ttc;livraison
2025-02-06;CMD-2024-0055;jules.durand13@exemple.fr;35728;Rennes;Huile sèche 100 ml;2;40,90;Colissimo
2025-02-01;CMD-2024-0056;lea.garcia62@exemple.fr;63294;Clermont-Ferrand;Bougie cire de soja;4;92,90;Colissimo
2025-01-27;CMD-2024-0057;camille.thomas68@exemple.fr;92102;Nanterre;Shampoing solide;1;14,80;Colissimo
2025-06-10;CMD-2024-0058;arthur.richard57@exemple.fr;01685;Bourg-en-Bresse;Carte cadeau 50 €;2;104,90;Colissimo
2025-05-10;CMD-2024-0059;chloe.thomas18@exemple.fr;30281;Nîmes;Carte cadeau 50 €;4;204,90;Colissimo
2025-12-01;CMD-2024-0060;manon.dubois43@exemple.fr;78727;Versailles;Shampoing solide;1;14,80;Colissimo
2025-12-20;CMD-2024-0061;louis.dubois36@exemple.fr;85265;La Roche-sur-Yon;Savon lait d’ânesse;1;11,40;Colissimo
2024-05-22;CMD-2024-0062;lea.robert83@exemple.fr;39867;Lons-le-Saunier;Savon lait d’ânesse;1;11,40;Colissimo
2024-11-26;CMD-2024-0063;chloe.simon50@exemple.fr;58497;Nevers;Trousse toilette lin;2;62,90;Colissimo
2024-04-03;CMD-2024-0064;louis.simon85@exemple.fr;07513;Privas;Trousse toilette lin;4;120,90;Colissimo
2024-06-12;CMD-2024-0065;chloe.robert40@exemple.fr;23499;Guéret;Coffret découverte 3 savons;1;29,80;Colissimo
2025-06-07;CMD-2024-0066;lucas.richard40@exemple.fr;53519;Laval;Baume réparateur;3;43,60;Colissimo
2024-08-25;CMD-2024-0067;manon.petit30@exemple.fr;83157;Toulon;Bougie cire de soja;1;26,90;Colissimo
2025-04-04;CMD-2024-0068;chloe.robert74@exemple.fr;85086;La Roche-sur-Yon;Bougie cire de soja;3;70,90;Colissimo
2024-01-05;CMD-2024-0069;jules.simon24@exemple.fr;21341;Dijon;Trousse toilette lin;1;33,90;Colissimo
2024-12-06;CMD-2024-0070;lucas.simon11@exemple.fr;35115;Rennes;Trousse toilette lin;4;120,90;Colissimo
2025-10-22;CMD-2024-0071;louis.bernard86@exemple.fr;75590;Paris;Coffret découverte 3 savons;3;79,60;Colissimo
2024-07-18;CMD-2024-0072;manon.lefebvre2@exemple.fr;86358;Poitiers;Coffret découverte 3 savons;2;54,70;Colissimo
2025-08-10;CMD-2024-0073;manon.martin71@exemple.fr;38656;Grenoble;Baume réparateur;4;56,50;Colissimo
2025-03-16;CMD-2024-0074;hugo.simon43@exemple.fr;60507;Beauvais;Coffret découverte 3 savons;1;29,80;Retrait boutique
2024-10-26;CMD-2024-0075;lucas.lefebvre7@exemple.fr;20000;Ajaccio;Bougie cire de soja;4;92,90;Colissimo
2024-09-08;CMD-2024-0076;jules.dubois40@exemple.fr;86366;Poitiers;Bougie cire de soja;4;92,90;Colissimo
2025-05-16;CMD-2024-0077;arthur.garcia29@exemple.fr;86609;Poitiers;Savon lait d’ânesse;1;11,40;Retrait boutique
2024-11-24;CMD-2024-0078;nathan.garcia25@exemple.fr;69228;Lyon;Bougie cire de soja;1;26,90;Retrait boutique
2024-04-20;CMD-2024-0079;louis.lefebvre17@exemple.fr;40432;Mont-de-Marsan;Baume réparateur;3;43,60;Colissimo
2025-05-26;CMD-2024-0080;hugo.martin67@exemple.fr;83859;Toulon;Savon lait d’ânesse;3;24,40;Colissimo
2024-11-24;CMD-2024-0081;arthur.bernard83@exemple.fr;44567;Nantes;Bougie cire de soja;3;70,90;Colissimo
2024-10-06;CMD-2024-0082;lucas.richard56@exemple.fr;78162;Versailles;Baume réparateur;1;17,80;Colissimo
2024-01-21;CMD-2024-0083;emma.robert86@exemple.fr;70536;Vesoul;Coffret découverte 3 savons;1;29,80;Colissimo
2025-05-11;CMD-2024-0084;zoe.robert67@exemple.fr;35446;Rennes;Coffret découverte 3 savons;1;29,80;Colissimo
2024-12-07;CMD-2024-0085;nathan.petit54@exemple.fr;44362;Nantes;Trousse toilette lin;1;33,90;Colissimo
2024-10-17;CMD-2024-0086;arthur.laurent9@exemple.fr;17538;La Rochelle;Trousse toilette lin;3;91,90;Colissimo
2025-11-24;CMD-2024-0087;nathan.garcia11@exemple.fr;83662;Toulon;Carte cadeau 50 €;3;154,90;Colissimo
2024-11-09;CMD-2024-0088;lucas.robert89@exemple.fr;32591;Auch;Baume réparateur;1;17,80;Colissimo
2025-07-15;CMD-2024-0089;arthur.garcia32@exemple.fr;18781;Bourges;Huile sèche 100 ml;2;40,90;Retrait boutique
2025-04-13;CMD-2024-0090;nathan.robert3@exemple.fr;05275;Gap;Savon lait d’ânesse;1;11,40;Colissimo
2024-07-11;CMD-2024-0091;camille.richard43@exemple.fr;31451;Toulouse;Baume réparateur;2;30,70;Colissimo
2025-11-05;CMD-2024-0092;louis.garcia6@exemple.fr;44597;Nantes;Baume réparateur;2;30,70;Colissimo
2025-06-15;CMD-2024-0093;arthur.richard17@exemple.fr;27362;Évreux;Baume réparateur;4;56,50;Colissimo
2024-02-19;CMD-2024-0094;ines.simon47@exemple.fr;15601;Aurillac;Coffret découverte 3 savons;3;79,60;Colissimo
2025-11-20;CMD-2024-0095;zoe.dubois16@exemple.fr;77240;Melun;Shampoing solide;1;14,80;Colissimo
2025-11-14;CMD-2024-0096;emma.petit46@exemple.fr;82554;Montauban;Shampoing solide;2;24,70;Colissimo
2024-05-28;CMD-2024-0097;lea.martin37@exemple.fr;79392;Niort;Trousse toilette lin;1;33,90;Colissimo
2025-05-23;CMD-2024-0098;manon.simon75@exemple.fr;80446;Amiens;Carte cadeau 50 €;1;54,90;Colissimo
2025-12-14;CMD-2024-0099;hugo.durand50@exemple.fr;84050;Avignon;Shampoing solide;2;24,70;Colissimo
2024-01-21;CMD-2024-0100;ines.petit64@exemple.fr;01771;Bourg-en-Bresse;Carte cadeau 50 €;4;204,90;Colissimo
2024-09-23;CMD-2024-0101;emma.bernard59@exemple.fr;93596;Bobigny;Carte cadeau 50 €;1;54,90;Retrait boutique
2024-11-10;CMD-2024-0102;camille.thomas41@exemple.fr;70159;Vesoul;Coffret découverte 3 savons;1;29,80;Colissimo
2025-07-14;CMD-2024-0103;arthur.dubois57@exemple.fr;75517;Paris;Bougie cire de soja;1;26,90;Retrait boutique
2024-02-06;CMD-2024-0104;emma.robert22@exemple.fr;74008;Annecy;Trousse toilette lin;3;91,90;Retrait boutique
2024-05-19;CMD-2024-0105;lucas.robert31@exemple.fr;68366;Colmar;Bougie cire de soja;4;92,90;Colissimo
2024-03-08;CMD-2024-0106;chloe.petit60@exemple.fr;39700;Lons-le-Saunier;Carte cadeau 50 €;4;204,90;Retrait boutique
2025-05-04;CMD-2024-0107;lucas.leroy72@exemple.fr;25574;Besançon;Carte cadeau 50 €;1;54,90;Retrait boutique
2025-11-20;CMD-2024-0108;manon.leroy75@exemple.fr;57135;Metz;Savon lait d’ânesse;4;30,90;Colissimo
2025-08-18;CMD-2024-0109;arthur.petit33@exemple.fr;60354;Beauvais;Bougie cire de soja;2;48,90;Colissimo
2025-03-07;CMD-2024-0110;arthur.dubois24@exemple.fr;44370;Nantes;Bougie cire de soja;3;70,90;Retrait boutique
2024-11-04;CMD-2024-0111;chloe.lefebvre8@exemple.fr;87421;Limoges;Trousse toilette lin;1;33,90;Colissimo
2024-12-19;CMD-2024-0112;emma.bernard87@exemple.fr;81043;Albi;Coffret découverte 3 savons;1;29,80;Colissimo
2025-03-09;CMD-2024-0113;manon.martin74@exemple.fr;35060;Rennes;Savon lait d’ânesse;1;11,40;Colissimo
2024-05-21;CMD-2024-0114;hugo.richard36@exemple.fr;10896;Troyes;Baume réparateur;1;17,80;Colissimo
2025-11-24;CMD-2024-0115;chloe.dubois75@exemple.fr;22881;Saint-Brieuc;Huile sèche 100 ml;4;76,90;Colissimo
2024-08-08;CMD-2024-0116;ines.leroy30@exemple.fr;92041;Nanterre;Coffret découverte 3 savons;1;29,80;Colissimo
2024-06-20;CMD-2024-0117;ines.lefebvre62@exemple.fr;34251;Montpellier;Bougie cire de soja;3;70,90;Colissimo
2024-06-21;CMD-2024-0118;louis.lefebvre78@exemple.fr;81202;Albi;Carte cadeau 50 €;1;54,90;Colissimo
2025-12-19;CMD-2024-0119;lea.durand61@exemple.fr;77353;Melun;Baume réparateur;4;56,50;Retrait boutique
2024-10-03;CMD-2024-0120;manon.robert69@exemple.fr;07766;Privas;Trousse toilette lin;4;120,90;Colissimo
2024-05-24;CMD-2024-0121;ines.moreau77@exemple.fr;43391;Le Puy-en-Velay;Bougie cire de soja;1;26,90;Colissimo
2025-03-13;CMD-2024-0122;gabriel.durand5@exemple.fr;62886;Arras;Coffret découverte 3 savons;2;54,70;Colissimo
2024-08-06;CMD-2024-0123;hugo.petit68@exemple.fr;01540;Bourg-en-Bresse;Trousse toilette lin;4;120,90;Colissimo
2024-02-10;CMD-2024-0124;jules.leroy3@exemple.fr;15041;Aurillac;Shampoing solide;2;24,70;Colissimo
2024-08-24;CMD-2024-0125;nathan.garcia84@exemple.fr;32402;Auch;Huile sèche 100 ml;1;22,90;Colissimo
2024-02-18;CMD-2024-0126;chloe.martin64@exemple.fr;34681;Montpellier;Carte cadeau 50 €;2;104,90;Colissimo
2025-03-23;CMD-2024-0127;arthur.dubois64@exemple.fr;76213;Rouen;Huile sèche 100 ml;1;22,90;Retrait boutique
2024-10-01;CMD-2024-0128;lea.moreau23@exemple.fr;48858;Mende;Baume réparateur;1;17,80;Colissimo
2025-10-08;CMD-2024-0129;gabriel.leroy26@exemple.fr;77136;Melun;Huile sèche 100 ml;2;40,90;Colissimo
2025-04-27;CMD-2024-0130;camille.moreau5@exemple.fr;53442;Laval;Huile sèche 100 ml;2;40,90;Colissimo
2025-01-19;CMD-2024-0131;manon.moreau36@exemple.fr;74630;Annecy;Huile sèche 100 ml;4;76,90;Colissimo
2025-07-07;CMD-2024-0132;nathan.garcia5@exemple.fr;48555;Mende;Bougie cire de soja;2;48,90;Colissimo
2025-07-25;CMD-2024-0133;gabriel.durand79@exemple.fr;54482;Nancy;Carte cadeau 50 €;1;54,90;Colissimo
2025-12-06;CMD-2024-0134;chloe.thomas21@exemple.fr;21459;Dijon;Trousse toilette lin;3;91,90;Retrait boutique
2024-12-12;CMD-2024-0135;gabriel.richard25@exemple.fr;70428;Vesoul;Shampoing solide;1;14,80;Colissimo
2025-04-21;CMD-2024-0136;chloe.durand63@exemple.fr;42067;Saint-Étienne;Huile sèche 100 ml;1;22,90;Colissimo
2025-12-01;CMD-2024-0137;arthur.richard13@exemple.fr;84192;Avignon;Bougie cire de soja;2;48,90;Colissimo
2025-04-20;CMD-2024-0138;arthur.petit75@exemple.fr;51093;Châlons-en-Champagne;Baume réparateur;1;17,80;Colissimo
2024-07-09;CMD-2024-0139;nathan.durand28@exemple.fr;75755;Paris;Coffret découverte 3 savons;1;29,80;Colissimo
2025-07-05;CMD-2024-0140;emma.simon49@exemple.fr;09332;Foix;Huile sèche 100 ml;1;22,90;Colissimo
2025-11-07;CMD-2024-0141;zoe.moreau40@exemple.fr;83071;Toulon;Baume réparateur;2;30,70;Colissimo
2024-08-05;CMD-2024-0142;arthur.simon53@exemple.fr;72715;Le Mans;Savon lait d’ânesse;1;11,40;Colissimo
2025-03-01;CMD-2024-0143;gabriel.durand45@exemple.fr;60044;Beauvais;Huile sèche 100 ml;2;40,90;Colissimo
2024-06-27;CMD-2024-0144;jules.dubois36@exemple.fr;56180;Vannes;Savon lait d’ânesse;2;17,90;Colissimo
2025-08-01;CMD-2024-0145;camille.simon3@exemple.fr;88141;Épinal;Carte cadeau 50 €;1;54,90;Colissimo
2025-02-26;CMD-2024-0146;ines.garcia28@exemple.fr;68792;Colmar;Shampoing solide;1;14,80;Retrait boutique
2024-02-12;CMD-2024-0147;arthur.leroy25@exemple.fr;26082;Valence;Huile sèche 100 ml;1;22,90;Colissimo
2024-11-14;CMD-2024-0148;emma.lefebvre10@exemple.fr;89132;Auxerre;Bougie cire de soja;2;48,90;Colissimo
2024-07-25;CMD-2024-0149;emma.petit67@exemple.fr;73678;Chambéry;Huile sèche 100 ml;1;22,90;Retrait boutique
2025-09-21;CMD-2024-0150;chloe.durand57@exemple.fr;74865;Annecy;Savon lait d’ânesse;3;24,40;Colissimo
2025-12-13;CMD-2024-0151;gabriel.laurent72@exemple.fr;77393;Melun;Bougie cire de soja;2;48,90;Colissimo
2024-04-11;CMD-2024-0152;manon.lefebvre73@exemple.fr;51296;Châlons-en-Champagne;Trousse toilette lin;2;62,90;Colissimo
2024-11-12;CMD-2024-0153;emma.lefebvre65@exemple.fr;20200;Bastia;Savon lait d’ânesse;2;17,90;Colissimo
2025-03-14;CMD-2024-0154;emma.bernard37@exemple.fr;77548;Melun;Baume réparateur;2;30,70;Colissimo
2024-01-23;CMD-2024-0155;chloe.garcia68@exemple.fr;35550;Rennes;Coffret découverte 3 savons;2;54,70;Retrait boutique
2024-05-22;CMD-2024-0156;lea.bernard53@exemple.fr;34408;Montpellier;Carte cadeau 50 €;2;104,90;Colissimo
2025-04-20;CMD-2024-0157;gabriel.petit17@exemple.fr;75565;Paris;Trousse toilette lin;1;33,90;Colissimo
2025-11-23;CMD-2024-0158;louis.bernard38@exemple.fr;82183;Montauban;Bougie cire de soja;2;48,90;Colissimo
2024-03-19;CMD-2024-0159;jules.simon31@exemple.fr;52432;Chaumont;Savon lait d’ânesse;1;11,40;Colissimo
2025-11-24;CMD-2024-0160;lea.martin45@exemple.fr;71675;Mâcon;Bougie cire de soja;1;26,90;Colissimo
2025-02-20;CMD-2024-0161;ines.garcia35@exemple.fr;01033;Bourg-en-Bresse;Coffret découverte 3 savons;1;29,80;Colissimo
2024-04-10;CMD-2024-0162;jules.martin62@exemple.fr;95690;Cergy;Shampoing solide;1;14,80;Colissimo
2025-07-25;CMD-2024-0163;hugo.leroy21@exemple.fr;52414;Chaumont;Bougie cire de soja;1;26,90;Retrait boutique
2025-02-26;CMD-2024-0164;ines.bernard12@exemple.fr;93202;Bobigny;Coffret découverte 3 savons;1;29,80;Colissimo
2025-02-18;CMD-2024-0165;zoe.robert65@exemple.fr;73893;Chambéry;Trousse toilette lin;4;120,90;Colissimo
2025-05-26;CMD-2024-0166;emma.lefebvre55@exemple.fr;57288;Metz;Huile sèche 100 ml;3;58,90;Colissimo
2025-09-27;CMD-2024-0167;louis.simon55@exemple.fr;42566;Saint-Étienne;Baume réparateur;4;56,50;Retrait boutique
2025-11-15;CMD-2024-0168;zoe.moreau45@exemple.fr;43609;Le Puy-en-Velay;Huile sèche 100 ml;1;22,90;Colissimo
2025-04-24;CMD-2024-0169;lucas.richard18@exemple.fr;75607;Paris;Carte cadeau 50 €;3;154,90;Colissimo
2024-03-14;CMD-2024-0170;emma.petit63@exemple.fr;34104;Montpellier;Coffret découverte 3 savons;4;104,50;Colissimo
2025-05-19;CMD-2024-0171;louis.garcia68@exemple.fr;77325;Melun;Huile sèche 100 ml;3;58,90;Retrait boutique
2024-09-14;CMD-2024-0172;nathan.bernard5@exemple.fr;22162;Saint-Brieuc;Baume réparateur;4;56,50;Colissimo
2025-04-25;CMD-2024-0173;lucas.dubois63@exemple.fr;93808;Bobigny;Baume réparateur;3;43,60;Colissimo
2024-02-19;CMD-2024-0174;chloe.bernard69@exemple.fr;49727;Angers;Trousse toilette lin;2;62,90;Colissimo
2025-07-16;CMD-2024-0175;manon.garcia86@exemple.fr;59170;Lille;Carte cadeau 50 €;2;104,90;Colissimo
2024-06-28;CMD-2024-0176;louis.dubois84@exemple.fr;24397;Périgueux;Baume réparateur;2;30,70;Colissimo
2024-12-08;CMD-2024-0177;lea.dubois50@exemple.fr;91405;Évry-Courcouronnes;Coffret découverte 3 savons;1;29,80;Colissimo
2024-10-09;CMD-2024-0178;jules.petit62@exemple.fr;71044;Mâcon;Trousse toilette lin;1;33,90;Colissimo
2025-01-12;CMD-2024-0179;zoe.leroy77@exemple.fr;91735;Évry-Courcouronnes;Coffret découverte 3 savons;1;29,80;Colissimo
2025-09-28;CMD-2024-0180;nathan.durand26@exemple.fr;45492;Orléans;Coffret découverte 3 savons;2;54,70;Colissimo
2024-07-18;CMD-2024-0181;ines.durand76@exemple.fr;12211;Rodez;Savon lait d’ânesse;1;11,40;Colissimo
2025-08-16;CMD-2024-0182;hugo.simon74@exemple.fr;64681;Pau;Savon lait d’ânesse;2;17,90;Colissimo
2024-07-24;CMD-2024-0183;louis.durand24@exemple.fr;11745;Carcassonne;Huile sèche 100 ml;1;22,90;Colissimo
2024-11-26;CMD-2024-0184;lucas.martin36@exemple.fr;68346;Colmar;Savon lait d’ânesse;1;11,40;Retrait boutique
2024-06-15;CMD-2024-0185;nathan.robert68@exemple.fr;68429;Colmar;Shampoing solide;4;44,50;Colissimo
2025-03-06;CMD-2024-0186;jules.richard68@exemple.fr;12256;Rodez;Baume réparateur;1;17,80;Colissimo
2025-10-03;CMD-2024-0187;gabriel.durand47@exemple.fr;37173;Tours;Savon lait d’ânesse;3;24,40;Colissimo
2024-07-21;CMD-2024-0188;louis.leroy54@exemple.fr;81062;Albi;Coffret découverte 3 savons;1;29,80;Colissimo
2025-11-03;CMD-2024-0189;lea.leroy56@exemple.fr;35183;Rennes;Trousse toilette lin;1;33,90;Colissimo
2024-12-22;CMD-2024-0190;chloe.robert56@exemple.fr;04211;Digne-les-Bains;Carte cadeau 50 €;1;54,90;Colissimo
2024-08-04;CMD-2024-0191;lucas.thomas88@exemple.fr;78754;Versailles;Huile sèche 100 ml;2;40,90;Colissimo
2024-12-03;CMD-2024-0192;lea.laurent85@exemple.fr;58756;Nevers;Bougie cire de soja;3;70,90;Colissimo
2024-11-12;CMD-2024-0193;camille.moreau52@exemple.fr;32367;Auch;Carte cadeau 50 €;1;54,90;Colissimo
2025-09-10;CMD-2024-0194;lucas.petit4@exemple.fr;04665;Digne-les-Bains;Coffret découverte 3 savons;1;29,80;Colissimo
2025-05-12;CMD-2024-0195;nathan.garcia84@exemple.fr;59451;Lille;Carte cadeau 50 €;2;104,90;Retrait boutique
2025-07-17;CMD-2024-0196;nathan.robert40@exemple.fr;75201;Paris;Baume réparateur;1;17,80;Colissimo
2025-01-26;CMD-2024-0197;emma.moreau28@exemple.fr;12440;Rodez;Trousse toilette lin;1;33,90;Colissimo
2025-04-04;CMD-2024-0198;lucas.simon40@exemple.fr;72762;Le Mans;Coffret découverte 3 savons;3;79,60;Colissimo
2024-11-23;CMD-2024-0199;jules.bernard18@exemple.fr;95489;Cergy;Huile sèche 100 ml;1;22,90;Colissimo
2025-01-14;CMD-2024-0200;emma.thomas69@exemple.fr;45811;Orléans;Huile sèche 100 ml;1;22,90;Colissimo
2024-10-13;CMD-2024-0201;chloe.thomas69@exemple.fr;37488;Tours;Shampoing solide;2;24,70;Colissimo
2024-08-05;CMD-2024-0202;arthur.richard38@exemple.fr;91640;Évry-Courcouronnes;Carte cadeau 50 €;2;104,90;Colissimo
2024-06-27;CMD-2024-0203;hugo.simon87@exemple.fr;83858;Toulon;Savon lait d’ânesse;2;17,90;Colissimo
2025-11-01;CMD-2024-0204;camille.dubois0@exemple.fr;67858;Strasbourg;Baume réparateur;1;17,80;Colissimo
2024-09-25;CMD-2024-0205;emma.dubois49@exemple.fr;02406;Laon;Coffret découverte 3 savons;3;79,60;Colissimo
2025-02-18;CMD-2024-0206;chloe.dubois38@exemple.fr;85264;La Roche-sur-Yon;Savon lait d’ânesse;1;11,40;Colissimo
2025-09-02;CMD-2024-0207;lea.laurent29@exemple.fr;18095;Bourges;Huile sèche 100 ml;3;58,90;Colissimo
2024-11-25;CMD-2024-0208;camille.petit71@exemple.fr;81043;Albi;Bougie cire de soja;1;26,90;Colissimo
2025-04-20;CMD-2024-0209;arthur.simon65@exemple.fr;34877;Montpellier;Bougie cire de soja;4;92,90;Colissimo
2024-01-15;CMD-2024-0210;chloe.simon2@exemple.fr;26844;Valence;Bougie cire de soja;3;70,90;Colissimo
2025-02-09;CMD-2024-0211;nathan.garcia85@exemple.fr;63666;Clermont-Ferrand;Huile sèche 100 ml;1;22,90;Colissimo
2025-03-25;CMD-2024-0212;ines.bernard13@exemple.fr;94225;Créteil;Bougie cire de soja;4;92,90;Colissimo
2025-07-13;CMD-2024-0213;nathan.richard82@exemple.fr;67870;Strasbourg;Trousse toilette lin;2;62,90;Colissimo
2025-04-11;CMD-2024-0214;manon.bernard69@exemple.fr;21409;Dijon;Trousse toilette lin;1;33,90;Colissimo
2025-08-14;CMD-2024-0215;manon.thomas30@exemple.fr;48615;Mende;Shampoing solide;4;44,50;Colissimo
2024-05-13;CMD-2024-0216;lea.richard31@exemple.fr;94623;Créteil;Coffret découverte 3 savons;3;79,60;Colissimo
