Date;Client;CP;Article;Total
17/06/2025;Emma Simon;70835;Bougie cire de soja;26,90 €
08/11/2025;Hugo Leroy;02792;Trousse toilette lin;33,90 €
23/04/2025;Jules Moreau;63342;Huile sèche 100 ml;22,90 €
10/02/2025;Gabriel Moreau;63450;Coffret découverte 3 savons;29,80 €
13/11/2024;Manon Petit;;Shampoing solide;14,80 €
15/04/2025;Camille Martin;91328;Baume réparateur;17.80
25/04/2025;Hugo Robert;58419;Carte cadeau 50 €;54.90
25/02/2025;Camille Simon;10197;Carte cadeau 50 €;54.90
05/08/2025;Arthur Richard;54825;Carte cadeau 50 €;54,90 €
21/11/2025;Jules Bernard;54878;Savon lait d’ânesse;11.40
17/09/2025;Louis Simon;13324;Trousse toilette lin;33.90
17/06/2025;Hugo Moreau;97400;Huile sèche 100 ml;
20/12/2025;Camille Martin;31721;Trousse toilette lin;33,90 €
18/08/2025;Louis Thomas;84457;Shampoing solide;
11/07/2025;Manon Thomas;14733;Huile sèche 100 ml;22.90
11/07/2025;Louis Lefebvre;16 400;Bougie cire de soja;26,90 €
12/06/2025;Inès Bernard;;Bougie cire de soja;26.90
02/02/2025;Léa Richard;72 129;Shampoing solide;14,80 €
28/11/2024;Lucas Durand;12057;Huile sèche 100 ml;22,90 €
21/04/2025;Jules Richard;94 439;Coffret découverte 3 savons;
18/09/2025;Inès Garcia;59185;Trousse toilette lin;33,90 €
07/04/2025;Camille Lefebvre;22500;Savon lait d’ânesse;11.40
13/03/2025;Gabriel Dubois;81197;Baume réparateur;17.80
06/11/2025;Chloé Martin;97400;Carte cadeau 50 €;54,90 €
23/11/2025;Inès Garcia;42066;Baume réparateur;17,80 €
03/08/2025;Zoé Leroy;68406;Huile sèche 100 ml;22,90 €
21/02/2025;Léa Laurent;88485;Huile sèche 100 ml;22.90
05/11/2024;Jules Richard;92 571;Carte cadeau 50 €;54,90 €
07/02/2025;Gabriel Garcia;45 346;Bougie cire de soja;26.90
07/11/2025;Lucas Moreau;78 778;Huile sèche 100 ml;22.90
27/11/2025;Nathan Dubois;85513;Coffret découverte 3 savons;29,80 €
17/12/2025;Léa Thomas;72 478;Trousse toilette lin;33.90
27/12/2024;Zoé Leroy;34085;Bougie cire de soja;26.90
10/08/2025;Camille Thomas;30101;Baume réparateur;17,80 €
21/07/2025;Hugo Petit;59537;Coffret découverte 3 savons;29.80
28/09/2025;Chloé Durand;51 375;Shampoing solide;14.80
01/11/2025;Gabriel Laurent;82255;Baume réparateur;17,80 €
08/12/2025;Lucas Simon;53 881;Shampoing solide;14,80 €
11/11/2024;Jules Garcia;51 453;Trousse toilette lin;33.90
05/12/2025;Chloé Leroy;76400;Bougie cire de soja;26.90
21/12/2025;Manon Robert;59818;Baume réparateur;17.80
27/11/2025;Emma Simon;13163;Bougie cire de soja;26,90 €
21/05/2025;Gabriel Thomas;;Coffret découverte 3 savons;29,80 €
24/12/2024;Gabriel Garcia;64357;Bougie cire de soja;26.90
19/10/2025;Jules Bernard;20200;Trousse toilette lin;33,90 €
16/11/2025;Lucas Martin;78 716;Carte cadeau 50 €;54,90 €
16/11/2024;Camille Richard;77 481;Trousse toilette lin;33.90
13/12/2025;Camille Moreau;68051;Bougie cire de soja;26.90
06/12/2024;Chloé Petit;84399;Huile sèche 100 ml;22,90 €
19/09/2025;Jules Simon;11097;Huile sèche 100 ml;22.90
23/02/2025;Louis Laurent;76512;Baume réparateur;17,80 €
10/03/2025;Zoé Moreau;23 304;Baume réparateur;17.80
16/11/2025;Nathan Petit;78667;Carte cadeau 50 €;54,90 €
01/06/2025;Arthur Petit;59417;Shampoing solide;14.80
11/07/2025;Manon Garcia;91092;Huile sèche 100 ml;22.90
07/05/2025;Inès Simon;84 700;Savon lait d’ânesse;11,40 €
23/09/2025;Emma Durand;39 427;Trousse toilette lin;33.90
15/10/2025;Emma Laurent;13740;Bougie cire de soja;26.90
24/05/2025;Léa Martin;70683;Savon lait d’ânesse;11.40
07/11/2024;Lucas Moreau;97400;Trousse toilette lin;33,90 €
05/10/2025;Jules Moreau;16039;Huile sèche 100 ml;22,90 €
14/03/2025;Chloé Richard;90 614;Coffret découverte 3 savons;29,80 €
26/04/2025;Inès Thomas;78 796;Coffret découverte 3 savons;29,80 €
28/03/2025;Nathan Martin;08800;Shampoing solide;14.80
03/06/2025;Camille Bernard;75 154;Bougie cire de soja;26.90
03/11/2025;Gabriel Robert;14486;Coffret découverte 3 savons;29,80 €
15/10/2025;Camille Thomas;74848;Savon lait d’ânesse;11,40 €
21/06/2025;Zoé Martin;56584;Coffret découverte 3 savons;29.80
26/02/2025;Inès Lefebvre;08000;Trousse toilette lin;33.90
28/08/2025;Nathan Dubois;68477;Bougie cire de soja;26,90 €
19/07/2025;Chloé Durand;82 343;Carte cadeau 50 €;54,90 €
21/04/2025;Emma Martin;44768;Shampoing solide;14.80
15/11/2024;Jules Moreau;71288;Coffret découverte 3 savons;29,80 €
18/07/2025;Emma Lefebvre;49809;Shampoing solide;14.80
02/05/2025;Zoé Lefebvre;44488;Savon lait d’ânesse;11,40 €
25/10/2025;Manon Simon;91 348;Bougie cire de soja;26.90
17/10/2025;Camille Thomas;83275;Shampoing solide;14,80 €
17/02/2025;Lucas Garcia;78510;Coffret découverte 3 savons;29,80 €
22/12/2025;Emma Moreau;22338;Coffret découverte 3 savons;29.80
05/12/2025;Arthur Petit;84087;Savon lait d’ânesse;11,40 €
05/02/2025;Inès Durand;;Huile sèche 100 ml;22,90 €
26/01/2025;Louis Dubois;31371;Savon lait d’ânesse;11.40
23/09/2025;Chloé Robert;09 432;Carte cadeau 50 €;54.90
26/11/2024;Emma Dubois;84314;Carte cadeau 50 €;54,90 €
15/06/2025;Hugo Simon;93020;Shampoing solide;14.80
26/03/2025;Gabriel Leroy;29 084;Bougie cire de soja;26,90 €
12/08/2025;Nathan Thomas;05222;Savon lait d’ânesse;11,40 €
17/01/2025;Zoé Richard;05032;Trousse toilette lin;33,90 €
24/12/2024;Camille Martin;;Huile sèche 100 ml;
03/10/2025;Inès Bernard;;Shampoing solide;14.80
19/07/2025;Emma Lefebvre;52531;Savon lait d’ânesse;11.40
02/10/2025;Zoé Martin;04143;Carte cadeau 50 €;54.90
04/04/2025;Chloé Richard;39263;Bougie cire de soja;26.90
05/12/2024;Jules Bernard;47722;Trousse toilette lin;33,90 €
03/12/2025;Camille Robert;51861;Trousse toilette lin;33,90 €
03/06/2025;Louis Thomas;25098;Bougie cire de soja;
28/12/2024;Léa Richard;88811;Carte cadeau 50 €;54.90
19/10/2025;Léa Dubois;92 271;Baume réparateur;17.80
13/11/2024;Manon Bernard;94407;Baume réparateur;17.80
21/03/2025;Chloé Moreau;;Savon lait d’ânesse;11.40
02/03/2025;Zoé Dubois;62 744;Bougie cire de soja;26,90 €
04/04/2025;Zoé Lefebvre;30383;Shampoing solide;14.80
13/08/2025;Manon Bernard;45 218;Trousse toilette lin;33.90
12/05/2025;Léa Leroy;02631;Bougie cire de soja;26,90 €
09/01/2025;Léa Bernard;20000;Savon lait d’ânesse;11,40 €
27/10/2025;Nathan Bernard;53859;Trousse toilette lin;33.90
03/05/2025;Emma Petit;87 317;Huile sèche 100 ml;22.90
24/10/2025;Chloé Lefebvre;97400;Huile sèche 100 ml;22,90 €
04/02/2025;Arthur Thomas;48169;Baume réparateur;17,80 €
18/07/2025;Arthur Garcia;64737;Huile sèche 100 ml;22,90 €
06/05/2025;Hugo Robert;83 376;Baume réparateur;17.80
13/08/2025;Camille Durand;30601;Savon lait d’ânesse;11.40
06/12/2024;Jules Simon;13532;Savon lait d’ânesse;11,40 €
10/04/2025;Zoé Petit;30 500;Coffret découverte 3 savons;29.80
07/04/2025;Chloé Leroy;;Coffret découverte 3 savons;29.80
14/10/2025;Emma Petit;97400;Huile sèche 100 ml;22.90
22/01/2025;Hugo Martin;38770;Savon lait d’ânesse;11.40
07/08/2025;Manon Simon;44605;Carte cadeau 50 €;54,90 €
22/12/2024;Jules Richard;;Shampoing solide;
20/10/2025;Inès Durand;25118;Baume réparateur;17.80
16/09/2025;Hugo Bernard;68725;Huile sèche 100 ml;22,90 €
18/05/2025;Nathan Durand;06717;Trousse toilette lin;33.90
15/08/2025;Lucas Robert;27390;Coffret découverte 3 savons;29.80
18/12/2024;Emma Simon;;Coffret découverte 3 savons;29.80
09/01/2025;Arthur Thomas;33353;Coffret découverte 3 savons;29,80 €
03/10/2025;Hugo Martin;77 355;Trousse toilette lin;33,90 €
28/09/2025;Louis Laurent;35031;Trousse toilette lin;33.90
25/06/2025;Lucas Thomas;93410;Coffret découverte 3 savons;29.80
27/05/2025;Manon Bernard;85080;Savon lait d’ânesse;11.40
01/11/2025;Louis Robert;77012;Huile sèche 100 ml;22.90
04/03/2025;Manon Petit;;Huile sèche 100 ml;22,90 €
09/05/2025;Emma Leroy;;Savon lait d’ânesse;11.40
11/11/2024;Lucas Petit;34419;Baume réparateur;17,80 €
28/05/2025;Hugo Leroy;02543;Huile sèche 100 ml;22,90 €
20/01/2025;Zoé Leroy;37269;Shampoing solide;14,80 €
01/12/2024;Zoé Dubois;67 440;Savon lait d’ânesse;11.40
28/12/2024;Léa Dubois;29021;Baume réparateur;17,80 €
03/04/2025;Nathan Moreau;97400;Shampoing solide;14,80 €
09/09/2025;Gabriel Martin;67 012;Savon lait d’ânesse;11,40 €
23/09/2025;Nathan Bernard;2046;Bougie cire de soja;
03/12/2024;Zoé Bernard;72 637;Coffret découverte 3 savons;29.80
25/07/2025;Louis Garcia;25 669;Baume réparateur;17,80 €
19/11/2025;Jules Robert;37307;Huile sèche 100 ml;22.90
01/08/2025;Léa Laurent;33 749;Savon lait d’ânesse;11,40 €
09/10/2025;Camille Martin;49291;Baume réparateur;17,80 €
18/07/2025;Chloé Richard;59435;Savon lait d’ânesse;11,40 €
02/01/2025;Chloé Thomas;1505;Bougie cire de soja;26.90
16/07/2025;Louis Simon;84189;Bougie cire de soja;26,90 €
14/12/2024;Lucas Durand;26471;Savon lait d’ânesse;11,40 €
13/07/2025;Inès Dubois;;Trousse toilette lin;33.90
24/08/2025;Gabriel Petit;97400;Shampoing solide;14,80 €
15/07/2025;Emma Robert;59214;Shampoing solide;14,80 €
22/12/2024;Inès Petit;20000;Trousse toilette lin;33,90 €
08/12/2025;Manon Robert;54758;Carte cadeau 50 €;54.90
17/12/2025;Léa Moreau;63853;Carte cadeau 50 €;54,90 €
06/05/2025;Arthur Leroy;62 585;Trousse toilette lin;33.90
22/10/2025;Nathan Dubois;18736;Huile sèche 100 ml;22,90 €
23/10/2025;Lucas Simon;01506;Savon lait d’ânesse;11,40 €
03/11/2025;Camille Lefebvre;97400;Bougie cire de soja;26,90 €
01/01/2025;Louis Martin;97400;Savon lait d’ânesse;11,40 €
04/06/2025;Hugo Durand;82 553;Huile sèche 100 ml;22.90
06/02/2025;Léa Durand;57737;Trousse toilette lin;33.90
14/05/2025;Léa Moreau;74485;Shampoing solide;
11/08/2025;Nathan Bernard;76 461;Huile sèche 100 ml;22,90 €
09/12/2025;Manon Richard;54267;Huile sèche 100 ml;22,90 €
06/10/2025;Hugo Richard;66316;Trousse toilette lin;33,90 €
18/02/2025;Emma Bernard;77398;Trousse toilette lin;33,90 €
22/06/2025;Arthur Petit;34456;Bougie cire de soja;26,90 €
09/11/2025;Emma Thomas;60442;Huile sèche 100 ml;22,90 €
10/04/2025;Chloé Moreau;12 048;Coffret découverte 3 savons;29,80 €
26/12/2025;Nathan Leroy;31184;Huile sèche 100 ml;22,90 €
23/12/2024;Chloé Leroy;80400;Shampoing solide;14.80
04/02/2025;Emma Laurent;97400;Bougie cire de soja;26.90
16/11/2024;Chloé Petit;83069;Bougie cire de soja;26,90 €
12/03/2025;Lucas Dubois;34 609;Baume réparateur;17,80 €
16/12/2025;Jules Petit;34 274;Baume réparateur;17.80
08/01/2025;Lucas Richard;78438;Baume réparateur;17.80
16/12/2024;Camille Bernard;88038;Huile sèche 100 ml;22,90 €
10/05/2025;Arthur Martin;56 570;Baume réparateur;17.80
02/11/2024;Louis Bernard;;Bougie cire de soja;26.90
18/08/2025;Inès Moreau;67627;Baume réparateur;
11/03/2025;Chloé Thomas;35 302;Baume réparateur;17.80
04/12/2025;Emma Lefebvre;54014;Huile sèche 100 ml;22.90
25/07/2025;Inès Bernard;07407;Huile sèche 100 ml;22,90 €
11/06/2025;Zoé Moreau;94865;Carte cadeau 50 €;54,90 €
12/08/2025;Camille Richard;22235;Baume réparateur;17,80 €
27/07/2025;Gabriel Thomas;85758;Bougie cire de soja;26,90 €
25/06/2025;Emma Simon;17 452;Savon lait d’ânesse;11.40
23/02/2025;Chloé Moreau;84519;Baume réparateur;17,80 €
12/05/2025;Gabriel Leroy;35603;Coffret découverte 3 savons;29.80
16/10/2025;Arthur Richard;97400;Bougie cire de soja;
18/09/2025;Lucas Leroy;56527;Shampoing solide;14.80
21/10/2025;Zoé Garcia;91 752;Huile sèche 100 ml;22.90
20/01/2025;Emma Robert;86684;Savon lait d’ânesse;11.40
05/11/2025;Emma Leroy;;Trousse toilette lin;33,90 €
24/08/2025;Chloé Bernard;68574;Savon lait d’ânesse;11.40
21/06/2025;Inès Robert;;Bougie cire de soja;26,90 €
08/12/2024;Gabriel Moreau;25165;Bougie cire de soja;26.90
14/04/2025;Nathan Garcia;14 875;Shampoing solide;14.80
13/07/2025;Gabriel Lefebvre;89222;Bougie cire de soja;26,90 €
06/09/2025;Gabriel Leroy;93390;Huile sèche 100 ml;22,90 €
10/04/2025;Manon Petit;60552;Carte cadeau 50 €;54.90
08/11/2024;Inès Dubois;67505;Baume réparateur;17.80
22/11/2025;Lucas Lefebvre;42 179;Shampoing solide;14,80 €
